assigned_gene,fisher_p,n_studies_gws,rank
APOE,0.0,4,0
BIN1,2.306323173634552e-264,7,1
PICALM,6.75896348332556e-109,6,2
CLU,2.9988056668955783e-102,6,3
CR1,3.8256096500154376e-93,5,4
ABCA7,3.9756085470236295e-67,6,5
TREM2,5.129541682839455e-62,4,6
SORL1,4.2277023089662685e-56,5,7
CD2AP,2.3592439216433934e-49,5,8
PTK2B,4.5648401684237856e-48,4,9
EPHA1,2.9552696452374535e-43,4,10
CASS4,2.9833701663963223e-43,5,11
HLA-DRB1,1.8556784187719916e-41,4,12
MS4A6A,3.225499016706258e-40,3,13
INPP5D,2.702369785443852e-37,5,14
ECHDC3,3.638503086402874e-37,4,15
ZCWPW1,4.806523307487172e-36,3,16
CD33,5.405704171532732e-27,3,18
FERMT2,1.5554665308408895e-24,3,19
APH1B,4.774787484090608e-24,3,20
SLC24A4,1.260649337803445e-23,3,21
RIN3,2.0883818924481787e-23,2,22
NYAP1,4.9353328336335964e-23,2,23
ACE,1.9076000690536446e-22,3,24
ADAM10,4.41341102639991e-22,2,25
