assigned_gene,seshadri,lambert,kunkle,jansen,schwartzentruber,wightman,rajabli
ABCA7,,1.1e-15,3.1e-16,7.93e-11,2.41e-13,2.81e-15,1.59e-08
ABI3,,,,1.87e-08,,4.9e-10,
ACE,,,7.5e-09,,1.21e-08,1.23e-09,
ADAM10,,,,1.31e-09,,6.22e-15,
ADAMTS1,,,,,3.09e-08,,
ADAMTS4,,,,2.05e-10,4.3e-08,,
AGRN,,,,,,3.83e-08,
AKAP6,,,,,,,
ALPK2,,,,3.3e-08,,,
APH1B,,,,3.35e-08,1.05e-08,7e-12,
APOE,1.04e-295,,,5.7900000000000005e-276,,1e-300,1e-320
APP,,,,,,7.66e-10,
BIN1,1.59e-11,6.9e-44,2.1000000000000003e-44,3.38e-44,1.1e-54,3.9200000000000005e-58,7.18e-26
BZRAP1-AS1,,,,9.66e-07,,,
CASS4,,2.5e-08,3.5e-08,6.56e-10,1.07e-10,6.73e-16,
CCDC6,,,,,,3.68e-08,
CD2AP,,5.2e-11,1.2e-10,2.52e-10,,1.7e-17,7.59e-10
CD33,,3e-06,,6.34e-09,2.02e-08,2.21e-10,
CELF1,,1.1e-08,,,,,
CLNK,,,,1.93e-09,,5.23e-12,
CLU,1.62e-16,2.8e-25,4.5999999999999995e-24,2.61e-19,,1.57e-22,3.7e-08
CNTNAP2,,,,2.1e-09,,,
CR1,,5.699999999999999e-24,3.599999999999999e-24,1.1e-18,,2.42e-25,5.76e-12
DSG2,,0.0001,,,,,
ECHDC3,,,2.3e-09,1.26e-08,1.08e-11,7.68e-15,
EPHA1,1.7e-06,1.1e-13,1.3e-10,3.59e-11,,4.69e-11,
EXOC3L2,6.45e-09,,,,,,
FERMT2,,7.9e-09,1.4e-09,,,6.99e-11,
GRN,,,,,,1.98e-09,
HAVCR2,,,,,,7.91e-10,
HESX1,,,,1.24e-08,,,
HLA-DRB1,,2.9e-12,1.4e-11,8.41e-11,,2.66e-14,
HS3ST1,,,,0.051,,,
INPP5D,,3.2e-08,3.4e-09,8.92e-10,1.41e-10,4.65e-09,
KAT8,,,,3.98e-08,,,
LHX5-AS1,,,,,,,1.06e-08
LILRB2,,,,,,1.56e-09,
LRRC4C,,,,,,,5.37e-09
LTBP2,0.000446,,,,,,
MADD,,,,,,8.78e-09,
MEF2C,,3.2e-08,2.8e-06,,,,
MS4A2,,,1.9e-19,,,,
MS4A4A,,,,,,3.4e-33,
MS4A6A,,6.1e-16,,1.55e-15,,,6.76e-14
NCK2,,,,,1.28e-12,1.33e-08,
NME8,,4.8e-09,2.8e-07,,,,
NTN5,,,,,,1.72e-08,
NYAP1,,,9.3e-10,,,9.41e-16,
PICALM,3.16e-12,9.3e-26,6e-25,2.19e-18,,1.2400000000000001e-26,1.11e-14
PILRA,,,,,3.28e-18,,
PLCG2,,,,,5.46e-08,,
PRDM2,,,,,,,
PRSS7,2.1e-05,,,,,,
PTK2B,,7.4e-14,6.3e-14,2.61e-19,,,1.22e-08
RABEP1,,,,,,3.18e-08,
RIN3,,5.5e-09,,,,6.63e-17,
SCIMP,,,,9.16e-10,,3.18e-08,
SHARPIN,,,,,,3.14e-09,1.81e-09
SLC24A4,,5.5e-09,7.4e-09,1.65e-10,,,
SORL1,,9.7e-15,2.9e-12,1.09e-11,5.59e-14,1.33e-13,
SPI1,,,5.4e-13,,,8.78e-09,
SPRED2,,,,,2.08e-08,,
SUZ12P1,,,,0.03,,,
TMEM106B,,,,,,2.7e-09,
TNIP1,,,,,,1.37e-09,
TREM2,,,2.7e-15,1.45e-16,,1.2599999999999999e-25,1.66e-12
TSPAN14,,,,,2.93e-09,,
TSPOAP1,,,,,3.12e-07,7.46e-10,
USP6NL,,,,,,7.68e-15,
ZCWPW1,,5.6e-10,,2.22e-15,,9.41e-16,
