region,subjects_with_data,total_subjects,coverage_pct
Left-Cerebellum-Cortex,594,594,100.0
Left-Thalamus-Proper,594,594,100.0
Left-Caudate,594,594,100.0
Left-Putamen,594,594,100.0
Left-Pallidum,594,594,100.0
Brain-Stem,594,594,100.0
Left-Hippocampus,594,594,100.0
Left-Amygdala,594,594,100.0
Left-Accumbens-area,594,594,100.0
Left-VentralDC,594,594,100.0
Right-Cerebellum-Cortex,594,594,100.0
Right-Thalamus-Proper,594,594,100.0
Right-Caudate,594,594,100.0
Right-Putamen,594,594,100.0
Right-Pallidum,594,594,100.0
Right-Hippocampus,594,594,100.0
Right-Amygdala,594,594,100.0
Right-Accumbens-area,594,594,100.0
Right-VentralDC,594,594,100.0
ctx-lh-caudalanteriorcingulate,594,594,100.0
ctx-lh-caudalmiddlefrontal,594,594,100.0
ctx-lh-cuneus,594,594,100.0
ctx-lh-entorhinal,594,594,100.0
ctx-lh-fusiform,594,594,100.0
ctx-lh-inferiorparietal,594,594,100.0
ctx-lh-inferiortemporal,594,594,100.0
ctx-lh-isthmuscingulate,594,594,100.0
ctx-lh-lateraloccipital,594,594,100.0
ctx-lh-lateralorbitofrontal,594,594,100.0
ctx-lh-lingual,594,594,100.0
ctx-lh-medialorbitofrontal,594,594,100.0
ctx-lh-middletemporal,594,594,100.0
ctx-lh-parahippocampal,594,594,100.0
ctx-lh-paracentral,594,594,100.0
ctx-lh-parsopercularis,594,594,100.0
ctx-lh-parsorbitalis,594,594,100.0
ctx-lh-parstriangularis,594,594,100.0
ctx-lh-pericalcarine,594,594,100.0
ctx-lh-postcentral,594,594,100.0
ctx-lh-posteriorcingulate,594,594,100.0
ctx-lh-precentral,594,594,100.0
ctx-lh-precuneus,594,594,100.0
ctx-lh-rostralanteriorcingulate,594,594,100.0
ctx-lh-rostralmiddlefrontal,594,594,100.0
ctx-lh-superiorfrontal,594,594,100.0
ctx-lh-superiorparietal,594,594,100.0
ctx-lh-superiortemporal,594,594,100.0
ctx-lh-supramarginal,594,594,100.0
ctx-lh-transversetemporal,594,594,100.0
ctx-lh-insula,594,594,100.0
ctx-rh-caudalanteriorcingulate,594,594,100.0
ctx-rh-caudalmiddlefrontal,594,594,100.0
ctx-rh-cuneus,594,594,100.0
ctx-rh-entorhinal,594,594,100.0
ctx-rh-fusiform,594,594,100.0
ctx-rh-inferiorparietal,594,594,100.0
ctx-rh-inferiortemporal,594,594,100.0
ctx-rh-isthmuscingulate,594,594,100.0
ctx-rh-lateraloccipital,594,594,100.0
ctx-rh-lateralorbitofrontal,594,594,100.0
ctx-rh-lingual,594,594,100.0
ctx-rh-medialorbitofrontal,594,594,100.0
ctx-rh-middletemporal,594,594,100.0
ctx-rh-parahippocampal,594,594,100.0
ctx-rh-paracentral,594,594,100.0
ctx-rh-parsopercularis,594,594,100.0
ctx-rh-parsorbitalis,594,594,100.0
ctx-rh-parstriangularis,594,594,100.0
ctx-rh-pericalcarine,594,594,100.0
ctx-rh-postcentral,594,594,100.0
ctx-rh-posteriorcingulate,594,594,100.0
ctx-rh-precentral,594,594,100.0
ctx-rh-precuneus,594,594,100.0
ctx-rh-rostralanteriorcingulate,594,594,100.0
ctx-rh-rostralmiddlefrontal,594,594,100.0
ctx-rh-superiorfrontal,594,594,100.0
ctx-rh-superiorparietal,594,594,100.0
ctx-rh-superiortemporal,594,594,100.0
ctx-rh-supramarginal,594,594,100.0
ctx-rh-transversetemporal,594,594,100.0
ctx-rh-insula,594,594,100.0
