gene,modality,n_regions,spearman_r,spearman_p,significant
BIN1,amyloid,81,0.3438,0.0017,True
RIN3,amyloid,81,0.2498,0.0245,True
ZCWPW1,amyloid,81,0.2133,0.0558,False
PICALM,amyloid,81,0.1638,0.1441,False
CD2AP,amyloid,81,0.1601,0.1533,False
ADAM10,amyloid,81,0.1036,0.3575,False
APH1B,amyloid,81,0.0496,0.6604,False
INPP5D,amyloid,81,0.0477,0.6726,False
EPHA1,amyloid,81,0.0451,0.6894,False
SLC24A4,amyloid,81,0.0394,0.7269,False
ABCA7,amyloid,81,0.0279,0.8045,False
ACE,amyloid,81,0.0199,0.8597,False
FERMT2,amyloid,81,0.0155,0.891,False
SORL1,amyloid,81,0.0089,0.9368,False
HLA-DRB1,amyloid,81,0.007,0.9509,False
CD33,amyloid,81,0.0051,0.9638,False
TREM2,amyloid,81,-0.0032,0.9777,False
APOE,amyloid,81,-0.1073,0.3405,False
CLU,amyloid,81,-0.2068,0.0639,False
ECHDC3,amyloid,81,-0.2237,0.0447,True
PTK2B,amyloid,81,-0.2597,0.0192,True
RIN3,tau,81,0.4842,0.0,True
APOE,tau,81,0.3908,0.0003,True
ADAM10,tau,81,0.3882,0.0003,True
PICALM,tau,81,0.3579,0.001,True
BIN1,tau,81,0.3388,0.002,True
FERMT2,tau,81,0.3243,0.0031,True
ECHDC3,tau,81,0.2565,0.0208,True
APH1B,tau,81,0.2286,0.0401,True
INPP5D,tau,81,0.1971,0.0778,False
CD33,tau,81,0.1958,0.0798,False
CD2AP,tau,81,0.0755,0.5029,False
TREM2,tau,81,0.0629,0.5769,False
EPHA1,tau,81,0.026,0.8177,False
ABCA7,tau,81,-0.0056,0.9606,False
SLC24A4,tau,81,-0.0459,0.6844,False
ZCWPW1,tau,81,-0.0714,0.5264,False
HLA-DRB1,tau,81,-0.158,0.1588,False
ACE,tau,81,-0.2738,0.0134,True
PTK2B,tau,81,-0.3249,0.0031,True
CLU,tau,81,-0.3887,0.0003,True
SORL1,tau,81,-0.4604,0.0,True
